full_name,position_short_name,org_name,org_country
Pierre-Dimitri Gore- Coty,Vice-President and Regional General Manager,Uber Technologies,Netherlands
Cornelis van Zadelhoff,Founder,Zadelhoff B.V.,Netherlands
Ada Osakwe,Founder and Chief Executive Officer,Agrolay Ventures,Nigeria
Abdulsamad Rabiu,Chairman and Chief Executive Officer,BUA Group,Nigeria
Uzoma Dozie,Group Managing Director and Chief Executive Officer,Diamond Bank Plc,Nigeria
Ainojie Alex Irune,Chief Strategy and Corporate Services Officer,Oando Plc,Nigeria
Wale Tinubu,Group Chief Executive,Oando Plc,Nigeria
Kola Adesina,"Group Managing Director, Sahara Power Group",Sahara Group Limited,Nigeria
Ambrosie B. Orjiako,Chairman,Seplat Petroleum Development Company Plc,Nigeria
Oscar Onyema,Chief Executive Officer,The Nigerian Stock Exchange ,Nigeria
Olajumoke Adekeye,Founder,The Young Business Agency,Nigeria
Emeka Emuwa,Chief Executive Officer,Union Bank of Nigeria Plc,Nigeria
Tony O. Elumelu,Chairman,United Bank for Africa Plc,Nigeria
Jim Ovia,Chairman,Zenith Bank Plc,Nigeria
Øyvind Eriksen,President and Chief Executive Officer,Aker ASA,Norway
Caroline Hagen Kjos,Chairman,Canica AS,Norway
Camilla Hagen Sørli,Member of the Board,Canica AS,Norway
John Markus Lervik,Chief Executive Officer,Cognite AS,Norway
Kjerstin Braathen,Chief Financial Officer,DNB ASA,Norway
Olaug Johanne Svarva,Chair; Non-Executive Director,DNB Bank ASA,Norway
Torgrim Reitan,Executive Vice-President,Equinor ASA,Norway
Eldar Saetre,President and Chief Executive Officer,Equinor ASA,Norway
Johan H. Andresen,Chairman,Ferd,Norway
Svein Richard Brandtzaeg,President and Chief Executive Officer,Norsk Hydro ASA,Norway
Ann-Beth Freuchen,"Chief Executive Officer, Orkla Foods, Nordics and Baltics; Executive Vice- President",Orkla ASA,Norway
Stein Erik Hagen,Chairman,Orkla ASA,Norway
Gry Aarnes,"Director, Strategy and Business Development, Retail Operations",REMA 1000,Norway
Sigve Brekke,President and Chief Executive Officer,Telenor Group,Norway
Gunn Warsted,Chair,Telenor Group,Norway
Pablo Alberto Barrera Lopez,"Executive Vice-President; Head, Global Supply Chain",Yara International ASA,Norway
Arne Cartridge,"Special Adviser, Strategy and Business Development",Yara International ASA,Norway
Svein Tore Holsether,President and Chief Executive Officer,Yara International ASA,Norway
Umesh Khimji,Chief Executive Officer,Ajit Khimji Group LLC,Oman
Pankaj K. Khimji,Director,Khimji Ramdas LLC,Oman
Hussain Dawood,Group Chairman,Dawood Hercules Corporation Limited,Pakistan
Abid Butt,Chief Executive Officer,e2e Supply Chain Management,Pakistan
Sania Nishtar,Founder and President,Heartfile,Pakistan
Ali Raza Siddiqui,Chairman,JS Group,Pakistan
Zarrar Sehgal,Deputy Chairman,Pathfinder Group,Pakistan
Sharmeen Obaid Chinoy,Chief Executive Officer,SOC Films,Pakistan
Hashim Shawa,Chairman,Bank of Palestine,Palestinian Territories
Adrian Zadeh,Chief Executive Officer,J. Safra Sarasin Asset Management,Panama
Sandro Salsano,Chairman and President,Salsano Group,Panama
Martin Burt,Founder and Chief Executive Officer,Fundación Paraguaya,Paraguay
Song Juntao,"Global Head, International Business Affairs and Electronic World Trade Platform (eWTP)",Alibaba Group,People's Republic of China
Daniel Zhang,Chief Executive Officer,Alibaba Group,People's Republic of China
Zhao Ying,Senior Vice-President,Alibaba Group,People's Republic of China
Jack Ma,Executive Chairman,Alibaba Group Holding Limited,People's Republic of China
Eric Jing,Chief Executive Officer,Ant Financial Services Group,People's Republic of China
Liu Xiao,Senior Vice-President,Beijing Vanke Co. Ltd,People's Republic of China
Li Yinuo,"Director, China Country Office",Bill & Melinda Gates Foundation,People's Republic of China
Layla Dong,Founder and Chief Executive Officer,Blockshine Communication,People's Republic of China
Cai Mingpo,Founder and President,Cathay Capital Private Equity SAS,People's Republic of China
Han Gang,Vice-President,Cedar Holdings Group,People's Republic of China
Zhang Jin,Chairman of the Board,Cedar Holdings Group,People's Republic of China
Zhang Juntao,General Manager,Chengdu Xingcheng Investment Group Co. Ltd,People's Republic of China
Chen Yongqing,Deputy Director,China Central Television CCTV-2,People's Republic of China
Xu Lirong,Chairman,China COSCO Shipping Corporation Limited ,People's Republic of China
Liu Dashan,Chairman,China Energy Conservation and Environmental Protection Group ,People's Republic of China
Ling Wen,President and Chief Executive Officer,China Energy Investment Corporation Limited,People's Republic of China
Xiao Chuangying,Director-General,China Energy Investment Corporation Limited,People's Republic of China
Katherine Xin,Professor of Management,China Europe International Business School ,People's Republic of China
Shaukat Aziz,Member of the Global Advisory Council,China Minsheng Investment Group,People's Republic of China
Lyu Benxian,President and Chief Executive Officer,China Minsheng Investment Group,People's Republic of China
Song Zhiping,Chairman of the Board,"China National Building Material Group Co., Ltd.",People's Republic of China
Dai Hegen,Chairman,China National Chemical Engineering Group Corporation Ltd,People's Republic of China
Zhang Xiaolun,President,China National Machinery Industry Corp ,People's Republic of China
Xu Niansha,Chairman,China Poly Group Corporation,People's Republic of China
Hou Weidong,Chief Legal Officer,China Southern Power Grid Co. Ltd,People's Republic of China
Li Xinhao,"Deputy Director, International Cooperation",China Southern Power Grid Co. Ltd,People's Republic of China
Cai Jianbo,Executive Vice-President,China UnionPay,People's Republic of China
Jason Luo Guanhong,Senior Adviser,"Chongqing Sokon Industry Group Co., Ltd",People's Republic of China
John Zhang Zhengping,Chief Operating Officer,"Chongqing Sokon Industry Group Co., Ltd",People's Republic of China
Johnny Chi Jingtao,Executive Vice-President,COFCO Corporation,People's Republic of China
Lyu Jun,Chairman,COFCO Corporation,People's Republic of China
Sun Yongcai,General Manager,CRRC Group,People's Republic of China
James Liang Jian- Zhang,Co-Founder and Chairman,Ctrip.com,People's Republic of China
Jane Sun Jie,Chief Executive Officer,Ctrip.com,People's Republic of China
Leah Wang Ying,Vice-President,Ctrip.com,People's Republic of China
Cui Weigang,Rotating Chief Executive Officer; Corporate Senior Vice-President,Deppon Logistics Co. Ltd,People's Republic of China
Cui Weixing,Chairman and President,Deppon Logistics Co. Ltd,People's Republic of China
Michael Ding,Global Executive Director,Envision Group,People's Republic of China
Zhang Lei,Founder and Chief Executive Officer,Envision Group,People's Republic of China
Guo Guangchang,Chairman,Fosun International Limited,People's Republic of China
Zhu Huiying,Chairman,GCL Restone Capital,People's Republic of China
Eric Xin Luo,Chairman and Chief Executive Officer,GCL System Integration Technology Co. Ltd,People's Republic of China
Cherie Nursalim,Vice-Chairman,Giti Group,People's Republic of China
Zeng Qinghong,Chairman,Guangzhou Automobile Group Co. Ltd,People's Republic of China
Li Chuyuan,Chairman,Guangzhou Baiyunshan Pharmaceutical Holdings Limited,People's Republic of China
John Zhao,Chairman and Chief Executive Officer,Hony Capital Ltd,People's Republic of China
Chen Lifang,"Director; President, Public Affairs and Communications",Huawei Technologies Co. Ltd,People's Republic of China
Ken Hu,Deputy Chairman and Rotating Chairman,Huawei Technologies Co. Ltd,People's Republic of China
Liang Hua,Chairman,Huawei Technologies Co. Ltd,People's Republic of China
Peng Bo,"President, Western European Region",Huawei Technologies Co. Ltd,People's Republic of China
Yan Lida,"Director; President, Enterprise Business Group",Huawei Technologies Co. Ltd,People's Republic of China
Hugo Shong,Founding Chairman,IDG Capital,People's Republic of China
Li Pengcheng,Vice-President,Inner Mongolia Mengniu Dairy  Co. Ltd,People's Republic of China
Jeffery Lu Minfang,Chief Executive Officer,Inner Mongolia Mengniu Dairy  Co. Ltd,People's Republic of China
Chen Shengqiang,"Chief Executive Officer, JD Digits",JD.COM,People's Republic of China
Jianwen Liao,Chief Strategy Officer,JD.COM,People's Republic of China
Richard Liu,Chairman and Chief Executive Officer,JD.COM,People's Republic of China
Long Yu,Chief Human Resources Officer and General Counsel,JD.COM,People's Republic of China
Jian Pei,Vice-President and Head of Big Data and Blockchain,JD.COM,People's Republic of China
Huang Dinglong,Co-Founder and Chief Executive Officer,Malong Technologies,People's Republic of China
Wei Sun Christianson,"Co-Chief Executive Officer, Asia-Pacific; Chief Executive Officer, China",Morgan Stanley,People's Republic of China
Liu Jiren,Chairman and Chief Executive Officer,Neusoft Corporation,People's Republic of China
Angela Wang Nan,Senior Vice-President,Neusoft Corporation,People's Republic of China
Bill Liu Zihong,"Founder, Chairman and Chief Executive Officer",Royole Corporation,People's Republic of China
Ning Gaoning,Chairman,Sinochem Group,People's Republic of China
Lee Kai-Fu,Chairman and Chief Executive Officer,Sinovation Ventures,People's Republic of China
Zhang Xin (Shynn),Chief Executive Officer and Co-Founder,SOHO China Limited,People's Republic of China
Wang Huisheng,Chairman,State Development & Investment Corp. Ltd,People's Republic of China
Keith Bradsher,Shanghai Bureau Chief,The New York Times,People's Republic of China
Xu Hua,Vice-President,Tianjin Port  Co. Ltd,People's Republic of China
Zhang Ying,Co-Founder and Director,Ticket Youth Association,People's Republic of China
Long Tao,Co-Chairman,Tsinghua Unigroup,People's Republic of China
Zhao Weiguo,Chairman and Chief Executive Officer,Tsinghua Unigroup,People's Republic of China
Qiu Yong,President,Tsinghua University,People's Republic of China
Yan Xuetong,"Dean, Institute of International Relations",Tsinghua University,People's Republic of China
Jiang Yan,Editor,Xinhua News Agency,People's Republic of China
Sun Yinhuan,Chairman of the Board,Yida Group Co. Ltd,People's Republic of China
Zhang Zhaoxing,Chairman,Yuexiu Enterprises  Limited,People's Republic of China
Anna Fang Hamm,Partner and Chief Executive Officer,Zhen Fund,People's Republic of China
Jaime Araoz,Chief Executive Officer,Breca,Peru
Claudio Rodríguez Huaco,Corporate Director,Gloria SA,Peru
Rafael Dasso,Chief Executive Officer,InRetail Pharma,Peru
Carlos Rodriguez- Pastor,Chairman,Intercorp Peru Ltd,Peru
Jaime I. Ayala,Founder and Chief Executive Officer,Hybrid Social Solutions Inc. ,Philippines
Simon Bakker,Chief Executive Officer,Kennemer Foods International Incorporated ,Philippines
Maria Ressa,Chief Executive Officer and Executive Editor,Rappler.com,Philippines
Roksana Ciurysek- Gedir,Vice-President of the Management Board,Bank Pekao SA,Poland
Michal Krupinski,Chief Executive Officer,Bank Pekao SA,Poland
Jacek Szwajcowski,Chief Executive Officer,Pelion SA,Poland
Roman Palac,Member of the Management Board,PZU SA,Poland
Paweł Surówka,Chief Executive Officer,PZU SA,Poland
Antonio Mexia,Chief Executive Officer,EDP - Energias de Portugal SA,Portugal
Carlos Gomes da Silva,Chief Executive Officer,Galp Energia SGPS SA,Portugal
Pedro Soares dos Santos,Chairman,Jerónimo Martins SGPS SA,Portugal
Jose Soares dos Santos,Member of the Board,Jerónimo Martins SGPS SA,Portugal
Claudia Azevedo,Chief Executive Officer-Elect,SONAE SGPS SA,Portugal
Mohamed Althaf Musliam,Director,Lulu Group International,Qatar
Neeshad Shafi,Design Engineer,Metito Overseas Qatar,Qatar
Nasser Marafih,Member of the Group Board; Adviser to the Chairman,Ooredoo,Qatar
Waleed M. Al Sayed,Deputy Group Chief Executive Officer,Ooredoo,Qatar
Abdulla Bin Mohammed Al Thani,Chairman,Ooredoo,Qatar
Yousuf Mohamed Al- Jaida,Chief Executive Officer,Qatar Financial Centre Authority,Qatar
Michael Ryan,Chief Executive Officer,Qatar Financial Centre Regulatory Authority,Qatar
Ahmed Ali Al Hammadi,"Group Head, Active Investments",Qatar Investment Authority,Qatar
Mansoor Bin Ebrahim Al Mahmoud,Chief Executive Officer,Qatar Investment Authority,Qatar
Abdulla Al Khalifa,Chief Executive Officer,Qatar National Bank Q.P.S.C.,Qatar
Kenneth Choi Woo- Suk,Editor,Chosun Daily Newspaper,Republic of Korea
David Kim Young- Hoon,Chairman and Chief Executive Officer,Daesung Group,Republic of Korea
Youngmin Joo,Growth Consultant,Google Inc.,Republic of Korea
Hur Sae-Hong,Chief Executive Officer,GS Caltex Corporation,Republic of Korea
Hyun-Woo Shin,Chief Executive Officer,Hanwha Aerospace,Republic of Korea
Yong Hyun Kim,Chief Executive Officer,Hanwha Asset Management,Republic of Korea
Dong-Won Kim,Chief Innovation Officer; Senior Vice- President,Hanwha Life Insurance Co. Ltd,Republic of Korea
Dong-Kwan Kim,Chief Commercial Officer and Executive Vice-President,Hanwha Q CELLS,Republic of Korea
H. S. Cho,President,Hyosung Group,Republic of Korea
Chi Young Cho,President and Chief Innovation Officer,Hyundai Motor Group,Republic of Korea
Peter Schreyer,President and Chief Design Officer,Hyundai Motor Group,Republic of Korea
Hwang Chang-Gyu,Chairman and Chief Executive Officer,KT Corporation ,Republic of Korea
Lee Dong-Myun,Chief Technology Officer and President,KT Corporation ,Republic of Korea
Yun Kyoung-Lim,"President; Head, Global Business Group",KT Corporation ,Republic of Korea
Park Bong-Kwon,"Editor, Finance News Desk",Maeil Business Newspaper and TV,Republic of Korea
Kim So-Young,"Bureau Chief, Korea",Reuters,Republic of Korea
Cho Jeongwoo,"President, Chief Executive Officer",SK Biopharmaceutical,Republic of Korea
Chey Jae-Won,Executive Vice-Chairman,SK Holdings,Republic of Korea
Chey Tae-Won,Chairman and Chief Executive Officer,SK Holdings,Republic of Korea
Jun Kim,President and Chief Executive Officer,SK Innovation,Republic of Korea
Vladimir Pozner,"Journalist, Author and Documentary Filmmaker",,Russian Federation
Valery Kazikaev,Chairman of the Board of Directors,Baikal Mining Company LLC,Russian Federation
Dmitry Samartsev,Chief Executive Officer,Bi.Zone,Russian Federation
Dmitri Trenin,Director,Carnegie Moscow Center,Russian Federation
Berel Lazar,Chief Rabbi of the Russian Federation,Federation of Jewish Communities of Russia,Russian Federation
Anatoly Karachinsky,President and Chief Executive Officer,IBS Group,Russian Federation
Leonid Mikhelson,Chairman of the Management Board,JSC NOVATEK,Russian Federation
Ilya Tafintsev,Deputy Chairman of the Management Board,JSC NOVATEK,Russian Federation
Oleg Bagrin,"Member of the Board; Chairman, Strategy Committee",Novolipetsk Steel ,Russian Federation
Vladimir Lisin,Chairman of the Board of Directors,Novolipetsk Steel ,Russian Federation
David Iakobachvili,President,Orion Heritage Co. Ltd,Russian Federation
Mikhail Iakobachvili,Vice-President,Orion Heritage Co. Ltd,Russian Federation
Vagit Yu. Alekperov,President and Chief Executive Officer,PAO LUKOIL,Russian Federation
Ivan Romanovsky,"Head, Administration; Associate Member of the Management Board",PAO LUKOIL,Russian Federation
Valery Subbotin,Vice-President,PAO LUKOIL,Russian Federation
Dmitry Timoshenko,"Vice-President, Business Development, Upstream",PAO LUKOIL,Russian Federation
Alexey A. Mordashov,Chairman of the Board of Directors,PAO Severstal,Russian Federation
Aleksandr Shevelev,"General Director, Severstal Management",PAO Severstal,Russian Federation
Sergey Ivanov,?hief Executive Officer and Chairman of the Executive Committee,PJSC Alrosa,Russian Federation
Andrey A. Guryev,Chief Executive Officer,PJSC PhosAgro,Russian Federation
Andrey G. Guryev,Deputy Chairman of the Board,PJSC PhosAgro,Russian Federation
Siroj Loikov,"Deputy General Director, International Projects",PJSC PhosAgro,Russian Federation
Sergey Komyshan,"Executive Director and Member of the Management Board, Basic Polymers, Capital Projects, Sales and Marketing",PJSC SIBUR Holding,Russian Federation
Dmitry Konov,Chairman of the Management Board,PJSC SIBUR Holding,Russian Federation
Alexey Kozlov,Managing Director and Member of the Management Board,PJSC SIBUR Holding,Russian Federation
Nail Maganov,General Director and Chairman of the Management Board,PJSC Tatneft,Russian Federation
Anatoly B. Chubais,Chief Executive Officer,RUSNANO JSC,Russian Federation
Yuri Babin,Director,Russian Direct Investment Fund,Russian Federation
Kirill Dmitriev,Chief Executive Officer,Russian Direct Investment Fund,Russian Federation
Herman Gref,Chief Executive Officer and Chairman of the Board,Sberbank,Russian Federation
Lev Khasis,First Deputy Chairman of the Executive Board,Sberbank,Russian Federation
Stanislav Kuznetsov,Deputy Chairman of the Executive Board,Sberbank,Russian Federation
David Rafalovsky,"Executive Vice President, CTO Cberbank Group",Sberbank,Russian Federation
Alexander Vedyakhin,First Deputy Chairman of the Executive Board,Sberbank,Russian Federation
Vladimir Evtushenkov,Chairman of the Board of Directors,Sistema JSFC,Russian Federation
Victor F. Vekselberg,President,Skolkovo Foundation,Russian Federation
Dmitry A. Pumpyanskiy,Chairman of the Board,TMK,Russian Federation
Elena Martynova,Managing Director,USM Holdings Limited,Russian Federation
Ivan Streshinsky,Member of the Board of Directors,USM Holdings Limited,Russian Federation
Alisher B. Usmanov,Founder,USM Holdings Limited,Russian Federation
Olga Dergunova,Deputy President; Chairman of the Management Board,VTB Bank,Russian Federation
Andrey L. Kostin,Chairman of the Management Board; President,VTB Bank,Russian Federation
Riccardo Orcel,Deputy Chief Executive Officer,VTB Bank,Russian Federation
Yuri Soloviev,First Deputy President and Chairman of the Management Board,VTB Bank,Russian Federation
Vasily N. Titov,First Deputy President; Chairman of the Management Board,VTB Bank,Russian Federation
Arkady Volozh,Chief Executive Officer,Yandex,Russian Federation
Haifaa Al Mansour,Independent Filmmaker,-,Saudi Arabia
Fadi Mohammed A. Jameel,Deputy President and Vice-Chairman,Abdul Latif Jameel International DMCC,Saudi Arabia
Hassan Mohammed Jameel,Deputy President and Vice-Chairman,Abdul Latif Jameel International DMCC,Saudi Arabia
Khaled A. Al Qahtani,Vice-Chairman and Chief Executive Officer,Abdulhadi A. Al Qahtani Group,Saudi Arabia
Steve Bertamini,Chief Executive Officer,Al Rajhi Bank,Saudi Arabia
Sami Alangari,Vice-Chairman and Chief Executive Officer,AlGihaz Holding,Saudi Arabia
Mohammed ElKuwaiz,Chairman,Capital Market Authority,Saudi Arabia
Khaled A. Juffali,Chairman,E. A. Juffali and Brothers,Saudi Arabia
Majid Al Mualla,Senior Vice-President,Emirates Airline,Saudi Arabia
Amr Enany,Vice-Chairman,Enany Group of Companies,Saudi Arabia
Hamza B. Alkholi,Chairman and Chief Executive Officer,Hamza Alkholi Group,Saudi Arabia
Yasser Al-Sharif,Chief Executive Officer,Jabal Omar Development Company ,Saudi Arabia
Abdulaziz Al Subeaei,Chairman,Jabal Omar Development Company ,Saudi Arabia
Fahd Al-Rasheed,Group Chief Executive Officer and Managing Director,King Abdullah Economic City,Saudi Arabia
Talal Al Maiman,Chief Executive Officer,Kingdom Holding Co.,Saudi Arabia
Lubna S. Olayan,Chief Executive Officer and Deputy Chairperson,Olayan Financing Company,Saudi Arabia
Deemah Al Yahya,"Adviser and Chief, Misk Innovation bin Abdulaziz (MiSK) Foundation",Prince Mohammed Bin Salman,Saudi Arabia
Yasir Al Rumayyan,Managing Director and Secretary- General of the Board,Public Investment Fund ,Saudi Arabia
Khalid Alkhudair,Executive Vice-President,Riyad Bank,Saudi Arabia
Abdulmajeed Al Mobarak,Chief Executive Officer,Riyad Bank,Saudi Arabia
Khalid Al Dabbagh,"Senior Vice-President, Finance, Strategy and Development",Saudi Aramco,Saudi Arabia
Abdulaziz Al Judaimi,"Senior Vice-President, Downstream",Saudi Aramco,Saudi Arabia
Yasser Mufti,"Vice-President, Strategy and Market Analysis",Saudi Aramco,Saudi Arabia
Amin H. Nasser,President and Chief Executive Officer,Saudi Aramco,Saudi Arabia
Sheila Al-Rowaily,"Director, Global Analysis Department",Saudi Aramco,Saudi Arabia
Samir Al-Abdrabbuh,"Executive Vice-President, Agri-Nutrients Corporation (SABIC)",Saudi Basic Industries,Saudi Arabia
Yousef Al-Benyan,Vice-Chairman and Chief Executive Officer,Saudi Basic Industries Corporation ,Saudi Arabia
Abdulaziz Al-Jarbou,Chairman of the Board,Saudi Basic Industries Corporation ,Saudi Arabia
Khaled Nahas,Member of the Board of Directors Corporation (SABIC),Saudi Basic Industries,Saudi Arabia
Mohammed K. A. Al- Faisal,Chairman,Saudi Telecom Group,Saudi Arabia
Nasser Al Nasser,Group Chief Executive Officer,Saudi Telecom Group,Saudi Arabia
Sofana Rabea Dahlan,Founder and Managing Partner Firm,Sofana Rabea Dahlan Law,Saudi Arabia
Ayman Tamer,Chairman and Partner,Tamer Group,Saudi Arabia
Saeed bin Mohammed Al Ghamdi,Chairman,The National Commercial Bank ,Saudi Arabia
Elizabeth Rossiello,"Chief Executive Officer, Founder",BitPesa,Senegal
Wong Ai Ai,"Member, Global Executive Committee; Deputy Chair, Asia-Pacific",Baker McKenzie,Singapore
Helman Sitohang,"Chief Executive Officer, Asia-Pacific; Member of the Executive Board",Credit Suisse AG,Singapore
David Sin,"Co-Founder, Group President and Deputy Chairman",Fullerton Healthcare Corporation,Singapore
Jeffrey Pichet Jaensubhakij,Group Chief Investment Officer (Government of Singapore Investment Corporation),GIC Private Limited,Singapore
Lim Chow Kiat,Chief Executive Officer (Government of Singapore Investment Corporation),GIC Private Limited,Singapore
Anthony Tan,Group Chief Executive Officer and Co- Founder,GrabTaxi Holdings Pte Ltd,Singapore
Oliver Tonby,"Managing Partner; Chairman, Asia",McKinsey & Company,Singapore
Raman Singh,Chief Executive Officer Holding Pte Ltd,Mundipharma Singapore,Singapore
Noelle Tan,Associate,Partners Group,Singapore
Magesvaran Suranjan,"President, Asia-Pacific, India, Middle East and Africa",Procter & Gamble,Singapore
Jacques Aigrain,Chairman,Puma Energy Holdings Pte Ltd,Singapore
Vijay Poonoosamy,"Director, International Affairs",QI Group,Singapore
Anderson Tanoto,Director,RGE Pte Ltd,Singapore
Belinda Tanoto,Director,RGE Pte Ltd,Singapore
Shailendra Singh,Managing Director,Sequoia Capital  Singapore Pte Ltd,Singapore
Beh Swan Gin,Chairman,Singapore Economic Development Board,Singapore
Simon Cooper,"Chief Executive Officer, Corporate, Commercial and Institutional Banking",Standard Chartered Bank,Singapore
Judy Hsu,"Regional Chief Executive Officer, ASEAN and South Asia",Standard Chartered Bank,Singapore
Jonathan Rake,"Chief Executive Officer, Asia-Pacific Singapore Branch",Swiss Re International SE,Singapore
Chia Song Hwee,"President and Chief Operating Officer, Temasek International",Temasek Holdings  Limited,Singapore
Dilhan Pillay Sandrasegara,Deputy Chief Executive Officer,Temasek International Pte Ltd,Singapore
Tan Chong Lee,"President; Head, Europe, Middle East and Africa; Head, South-East Asia",Temasek International Pte Ltd,Singapore
Lorrance Brooks Entwistle,Chief Business Officer,Uber Technologies,Singapore
Melvyn Pun,Chief Executive Officer,Yoma Strategic Holdings Ltd,Singapore
Wendy Lucas-Bull,Chairman,Absa Group Limited,South Africa
Peter Matlare,Deputy Chief Executive Officer,Absa Group Limited,South Africa
Maria Ramos,Chief Executive Officer,Absa Group Limited,South Africa
Jongisa Magagula,"Director, Investor Relations and Corporate Development",African Rainbow Minerals,South Africa
Patrice Motsepe,Founder and Executive Chairman,African Rainbow Minerals,South Africa
Abigail Mukhuba,"Director, Finance",African Rainbow Minerals,South Africa
Andries Jacobus Wilkens,"Executive Director, Member of the Board of Directors",African Rainbow Minerals,South Africa
Kgosi Motsepe,Senior Executive,African Rainbow Minerals Exploration and Investments ,South Africa
Stewart Bailey,Senior Vice-President,AngloGold Ashanti Ltd,South Africa
Sipho M Pityana,Chairman,AngloGold Ashanti Ltd,South Africa
Khanyisile Kweyama,Chairperson,Brand South Africa,South Africa
Ernest Darkoh,Founding Partner and Co-Chief Executive Officer,BroadReach Healthcare,South Africa
Lukanyo Mnyanda,Editor,Business Day,South Africa
Bonang F. Mohale,Chief Executive Officer,Business Leadership South Africa,South Africa
Patrick Khulekani Dlamini,Chief Executive Officer and Managing Director,Development Bank of Southern Africa,South Africa
Mark Swilling,Chairman of the Board of Directors Africa,Development Bank of Southern,South Africa
Adrian Gore,Group Chief Executive,Discovery Limited,South Africa
Roger Jardine,Chairman,FirstRand Ltd,South Africa
Busi Mabuza,Chairperson,Industrial Development Corporation of South Africa Ltd ,South Africa
Tshokolo Nchocho,Chief Executive Officer Corporation of South Africa Ltd (IDC),Industrial Development,South Africa
Stephen Koseff,Chief Executive Officer,Investec Ltd,South Africa
Nonkululeko Nyembezi,Chairman,Johannesburg Stock Exchange Ltd,South Africa
Emmanuel Gamor,Entrepreneur,Kanea - EdTech,South Africa
Jacko Maree,Chairman,Liberty Holdings,South Africa
Yasuhiro Doida,"Regional Chief Executive Officer, Africa",Mitsubishi Corporation,South Africa
Precious Moloi- Motsepe,Deputy Chairman and Chief Executive Officer,Motsepe Foundation,South Africa
Rob Shuter,Group Chief Executive Officer,MTN Group Ltd,South Africa
Koos Bekker,Chairman,Naspers Limited,South Africa
Brian Kennedy,"Group Managing Executive, Nedbank CIB",Nedbank Group Limited,South Africa
Trevor Manuel,Chairman,Old Mutual Limited,South Africa
Peter Moyo,Chief Executive Officer,Old Mutual Limited,South Africa
Rapelang Rabana,Founder and Chairperson,Rekindle Learning,South Africa
Stephen Cornell,Joint President and Chief Executive Officer,Sasol South Africa Limited,South Africa
Bongani Nqwababa,Joint President and Chief Executive Officer,Sasol South Africa Limited,South Africa
Iqbal Survé,Executive Chairman,Sekunjalo Investment Holdings,South Africa
Skye Meaker,Photographer,Skye Meaker Photography,South Africa
Ishmael Sunga,Chief Executive Officer,Southern African Confederation of Agricultural Unions ,South Africa
Jabu A. Mabuza,Chairman,Telkom SA SOC Limited,South Africa
Funeka Montjane,"Chief Executive, Personal and Business Banking, South Africa",The Standard Bank Group Limited,South Africa
Simpiwe K. Tshabalala,Chief Executive Officer,The Standard Bank Group Limited,South Africa
Popo Molefe,Chairman,Transnet SOC Ltd,South Africa
Tau C. Morwe,Acting Group Chief Executive Officer,Transnet SOC Ltd,South Africa
Sydney Mufamadi,Member of the Board,Transnet SOC Ltd,South Africa
Rafael Mateo Alcalá,Chief Executive Officer,Acciona Energy,Spain
Luis Castilla,Chief Executive Officer,"Acciona Infraestructuras, SA",Spain
José Manuel Entrecanales Domecq,Chairman and Chief Executive Officer,Acciona SA,Spain
Luis Maroto,President and Chief Executive Officer,Amadeus IT Group SA,Spain
Ana Botín,Group Executive Chairman,Banco Santander SA,Spain
José Manuel González-Páramo,"Member of the Board of Directors; Chief Officer, Global Economics and Public Affairs",BBVA S.A.,Spain
Carlos Torres Vila,Group Executive Chairman,BBVA S.A.,Spain
Demetrio Carceller Arce,Executive Chairman and Chief Executive Officer,Disa Grupo,Spain
Rafael Del Pino,Executive Chairman,Ferrovial SA,Spain
Javier López Madrid,Chief Executive Officer,Grupo Villar Mir,Spain
Agustin Delgado,Chief Innovation and Sustainability Officer,Iberdrola SA,Spain
Ignacio Sánchez Galán,Chairman and Chief Executive Officer,Iberdrola SA,Spain
Gloria Fluxa Thienemann,Vice-Chairman and Chief Sustainability Officer,Iberostar Group,Spain
Albert Morro Vall,Founder,Nanoboost,Spain
Josu Jon Imaz San Miguel,Chief Executive Officer,Repsol SA,Spain
Krishan N. Balendra,Deputy Chairman,John Keells Holdings Plc,Sri Lanka
Krystle Reid,Founder and Managing Director,Remote Workforce  Ltd,Sri Lanka
Kristina Lagerstedt,Chief Executive Officer,1928 diagnostics AB,Sweden
Niklas Gustafsson,"Chief Sustainability Officer; Head, Public Affairs",AB Volvo,Sweden
Martin Lundstedt,President and Chief Executive Officer,AB Volvo,Sweden
Lars Stenqvist,Chief Technology Officer,AB Volvo,Sweden
Cecilia Skingsley,Deputy Governor,Central Bank of Sweden ,Sweden
Claudia Olsson,Chief Executive Officer and Founder,Exponential,Sweden
Jacob Wallenberg,Chairman,Investor AB,Sweden
Casper von Koskull,President and Group Chief Executive Officer,Nordea Bank Abp,Sweden
Daniel Sachs,Chief Executive Officer,Proventus AB,Sweden
Johan Torgeby,President and Chief Executive Officer,Skandinaviska Enskilda Banken ,Sweden
Carl-Johan Hagman,Chief Executive Officer,Stena AB,Sweden
Börje Ekholm,President and Chief Executive Officer,Telefonaktiebolaget LM Ericsson,Sweden
Erik Ekudden,Chief Technology Officer,Telefonaktiebolaget LM Ericsson,Sweden
Helena Norrman,Senior Vice-President; Chief Marketing and Communications Officer,Telefonaktiebolaget LM Ericsson,Sweden
Ulf Pehrsson,"Vice-President, Government and Industry Relations",Telefonaktiebolaget LM Ericsson,Sweden
